Your name,1st,2nd,3rd,4th,5th
0,8,1,3,12,10
1,8,10,12,13,1
2,10,1,7,3,4
3,8,3,1,9,10
4,4,9,3,7,8
5,11,4,1,2,10
6,4,9,7,3,8
7,7,4,14,12,11
8,8,9,7,1,10
9,14,7,9,10,8
10,7,13,3,11,10
11,3,9,10,7,1
12,4,10,12,13,7
13,10,14,7,9,8
14,8,10,4,2,12
15,8,10,15,9,7
16,10,7,9,8,1
17,12,4,1,3,6
18,9,12,1,10,4
19,9,8,7,11,4
20,1,10,14,8,3
21,8,10,7,9,12
22,6,9,8,2,1
23,8,10,4,11,2
24,9,8,10,7,12
25,2,7,10,3,8
26,10,8,9,1,4
27,11,8,9,3,1
28,9,10,8,3,12
29,7,10,3,1,9
30,1,8,10,7,9
31,4,13,8,10,7
32,11,7,9,10,8
33,10,13,1,9,7
34,8,2,7,13,9
35,12,6,1,9,4
36,10,9,8,1,6
37,14,4,12,7,13
38,7,14,9,8,10
39,10,9,8,7,2
40,8,7,9,1,3
41,8,3,7,10,15
42,1,10,9,7,4
43,1,3,8,6,13
44,7,4,10,8,9
45,13,1,6,9,11
46,1,9,13,10,7
47,1,8,9,14,2
48,9,1,6,2,8
49,4,7,9,8,2
50,3,8,14,13,7
51,9,12,1,14,13
52,9,8,12,14,3
53,2,10,9,7,15
54,1,8,7,10,13
55,8,1,3,9,4
56,8,10,3,1,11
57,8,1,9,3,4
58,12,9,10,1,8
59,7,8,11,9,13
60,7,8,4,15,9
61,8,4,14,3,11
62,10,9,2,3,8
63,12,1,7,10,14
64,14,15,9,12,6
65,10,2,4,7,11
66,1,7,4,14,8
67,7,15,8,10,1
68,1,8,4,3,7
69,10,1,3,7,11
70,10,1,9,12,2
71,6,1,10,9,7
72,1,7,14,10,3
73,1,11,8,9,10
74,10,8,1,7,14
75,7,1,12,4,11
76,13,3,15,7,1
77,10,9,12,2,7
78,9,10,8,2,4
79,9,10,11,7,8
80,8,9,3,12,7
81,11,10,1,7,14
82,8,10,9,7,3
83,12,10,2,6,7
84,6,8,9,7,4
85,13,10,11,9,2
86,11,8,2,10,1
87,12,11,9,2,1
88,9,8,10,4,7
89,1,9,4,8,2
90,2,14,9,7,3
91,9,10,3,4,15
92,14,8,10,6,9
93,7,14,1,10,8
94,9,8,1,7,4
95,1,11,10,7,13
96,14,2,11,1,4
97,7,10,9,15,4
98,9,14,10,7,2
99,7,13,4,9,14
